  Nr    Dags.    Timi      Breidd     Lengd   Dypi   M     ML
   1 20140915 001047.200 64.61259 -17.48845  2.864  3.58  2.41
   2 20140915 001405.383 64.61441 -17.47656  0.983  3.73  2.85
   3 20140915 002415.806 64.79458 -16.89182 11.880  1.06  0.97
   4 20140915 002825.855 65.11921 -16.37238  5.667  0.59  0.94
   5 20140915 003051.751 65.12346 -16.39269  8.685  0.96  0.88
   6 20140915 003133.448 63.64206 -19.34333  0.063  0.99  1.15
   7 20140915 003918.088 63.73262 -23.13523 10.587  2.02  2.04
   8 20140915 005006.245 64.79202 -16.90122  7.705  0.86  0.95
   9 20140915 010223.230 64.80532 -16.91736 12.347  1.14  0.90
  10 20140915 014311.704 64.66714 -17.53985  6.062  1.74  2.01
  11 20140915 021709.894 64.80117 -16.89815  6.580  1.29  1.15
  12 20140915 022732.300 64.62543 -17.54792  1.699  3.85  3.03
  13 20140915 023955.324 65.02369 -16.58768  5.057  1.58  1.38
  14 20140915 031238.842 64.78980 -16.92267 11.968  1.08  1.13
  15 20140915 040520.283 64.79949 -16.90518 11.978  1.84  1.41
  16 20140915 052846.377 66.23639 -18.36279  7.650  1.38  1.56
  17 20140915 054913.357 66.23608 -18.35181  9.908  0.91  1.11
  18 20140915 060811.791 65.06081 -16.30048  6.876  1.13  1.23
  19 20140915 062717.083 65.14211 -16.30682  9.080  1.27  1.33
  20 20140915 062755.501 64.71584 -17.68865  5.306  1.78  1.42
  21 20140915 063006.817 65.19747 -16.37070 14.502  0.76  0.84
  22 20140915 063839.578 65.04182 -16.58060  4.376  1.05  0.99
  23 20140915 064016.439 64.79647 -16.89278  8.802  0.87  0.80
  24 20140915 064908.005 64.66480 -17.47460  3.770  3.70  2.51
  25 20140915 065017.153 64.67197 -17.43438  2.809  2.92  1.94
  26 20140915 065430.119 65.11550 -16.36935  8.939  1.30  0.82
  27 20140915 070729.503 64.62434 -17.39696  6.763  1.89  1.50
  28 20140915 071021.419 64.86205 -16.84853 11.459  0.91  0.90
  29 20140915 073951.461 64.74196 -16.85483 11.986  0.94  0.92
  30 20140915 074421.778 65.04662 -16.57732  4.460  1.13  0.93
  31 20140915 075044.172 65.14113 -16.29781  9.211  0.96  1.25
  32 20140915 080218.127 64.84759 -16.85723  9.124  1.30  1.08
  33 20140915 080458.436 64.61172 -17.43507  0.135  5.36  4.17
  34 20140915 084811.242 65.17406 -16.27740  3.435  1.27  1.09
  35 20140915 090449.242 66.23396 -18.35270 11.602  1.26  1.33
  36 20140915 091953.713 64.78806 -16.89845  7.406  0.93  0.73
  37 20140915 092728.996 64.78587 -16.90027  6.185  0.61  0.74
  38 20140915 093122.067 65.04230 -16.53279  5.722  0.79  0.56
  39 20140915 093821.557 64.78722 -16.90390  6.731  1.12  0.59
  40 20140915 095936.825 65.02635 -16.58840  5.189  1.48  1.45
  41 20140915 105603.806 64.78490 -16.89951  7.395  0.68  0.75
  42 20140915 110757.852 64.86113 -16.85157 10.799  0.82  0.82
  43 20140915 115156.186 64.79910 -16.88739  8.574  1.28  0.92
  44 20140915 121223.093 64.84456 -16.84408  5.011  0.63  0.74
  45 20140915 123019.113 65.03852 -16.59604  4.897  0.68  0.52
  46 20140915 123036.907 65.02956 -16.60853  4.816  1.34  0.75
  47 20140915 130134.237 65.21340 -16.35581  9.162  0.89  1.12
  48 20140915 133020.140 65.03831 -16.58532  4.050  0.99  0.98
  49 20140915 135553.072 64.79366 -16.91380 10.117  1.90  1.85
  50 20140915 141039.169 66.28242 -18.56237 11.743  2.08  2.25
  51 20140915 141123.063 66.28536 -18.56873 11.235  1.46  1.56
  52 20140915 141546.886 65.11872 -16.37194  8.677  0.81  1.17
  53 20140915 141743.978 64.79326 -16.89926 10.401  1.17  0.76
  54 20140915 143321.369 66.28268 -18.56685 12.100  1.25  1.51
  55 20140915 143558.373 65.03202 -16.60595  4.638  1.12  0.79
  56 20140915 143640.922 65.03428 -16.59391  3.897  1.59  1.74
  57 20140915 150309.250 65.13913 -16.31569  9.144  0.75  0.90
  58 20140915 150621.358 64.82113 -16.88782  7.476  1.09  1.05
  59 20140915 151022.077 64.00558 -21.42730  5.412  0.40  1.11
  60 20140915 151132.534 64.82888 -16.90139  4.257  1.21  0.99
  61 20140915 151544.271 64.81556 -16.89039  9.335  0.89  0.89
  62 20140915 152325.432 64.85339 -16.85893  9.927  0.72  0.52
  63 20140915 152636.185 64.62003 -17.53195  3.934  1.45  1.21
  64 20140915 153256.864 66.23753 -18.36306  9.308  1.66  2.00
  65 20140915 153320.460 66.24116 -18.35507 11.017  1.12  1.23
  66 20140915 153404.581 66.23882 -18.35387 15.047  0.80  0.53
  67 20140915 153418.690 66.24273 -18.35775  8.566  1.49  1.70
  68 20140915 154252.947 66.23590 -18.35676 10.764  1.22  1.37
  69 20140915 160332.324 64.79533 -16.90658  6.875  1.36  0.78
  70 20140915 161149.787 64.82301 -16.88414  3.603  0.45  0.55
  71 20140915 161932.949 64.81198 -16.89152  4.254  0.89  0.94
  72 20140915 162000.946 64.86698 -16.86727  8.307  1.36  1.24
  73 20140915 162405.712 64.80701 -16.90671  7.580  1.65  1.11
  74 20140915 163343.741 64.85312 -16.85352  4.659  0.90  0.89
  75 20140915 164200.427 65.09196 -16.44383  9.559  0.72  0.31
  76 20140915 164342.576 65.07309 -16.67395  7.350  1.34  0.89
  77 20140915 164852.328 64.64536 -17.59719  5.521  0.91  0.95
  78 20140915 170058.858 64.79977 -16.91817  8.939  1.29  1.01
  79 20140915 171229.829 64.79702 -16.91728  7.832  0.52  0.86
  80 20140915 171859.341 66.24055 -18.34547  9.567  0.95  1.23
  81 20140915 171942.341 64.66639 -17.41208  8.608  1.87  2.04
  82 20140915 173125.397 64.68389 -17.04406 11.697  1.56  1.51
  83 20140915 173318.840 64.67044 -17.37215  7.653  1.88  1.92
  84 20140915 173437.577 65.11440 -16.37915  8.434  1.32  1.44
  85 20140915 173459.213 65.11807 -16.37049  5.987  1.70  1.57
  86 20140915 173537.513 65.11778 -16.36963 11.512  1.00  0.94
  87 20140915 173937.346 64.87115 -16.85374  9.238  0.97  0.99
  88 20140915 174050.187 64.82989 -16.87772  8.245  0.54  0.60
  89 20140915 180450.902 64.85690 -16.87628  8.043  0.98  0.84
  90 20140915 181136.753 64.84174 -16.89072  5.674  0.91  0.94
  91 20140915 181157.156 64.79653 -16.89621  8.025  0.91  0.68
  92 20140915 182151.921 64.86574 -16.85557  8.998  1.20  1.04
  93 20140915 182601.948 64.86738 -16.84759 12.858  1.28  0.96
  94 20140915 183447.836 64.82520 -16.88018 11.741  0.84  0.87
  95 20140915 183552.347 64.79094 -16.91102 11.762  0.86  0.89
  96 20140915 183919.403 64.84361 -16.85303 14.206  1.05  0.99
  97 20140915 185328.969 65.14687 -16.31913  8.601  1.07  1.23
  98 20140915 192146.225 65.04416 -16.58579  4.690  1.03  0.63
  99 20140915 193002.398 64.83094 -16.88910  8.901  0.85  0.61
 100 20140915 194719.559 64.86592 -16.84630 10.404  0.25  0.33
 101 20140915 201211.075 64.85637 -16.87112  7.968  0.82  0.83
 102 20140915 202522.196 66.23988 -18.34657  9.997  0.84  1.04
 103 20140915 202608.667 65.19647 -16.37386 14.646  0.92  0.55
 104 20140915 203606.574 64.85931 -16.85616  8.010  1.40  1.25
 105 20140915 203846.356 64.84164 -16.87903  7.988  1.67  1.35
 106 20140915 210031.843 64.80388 -16.90634 12.369  0.86  0.79
 107 20140915 210214.092 66.26093 -16.93308  7.584  0.42  0.81
 108 20140915 210346.675 65.21922 -16.34848  4.232  0.83  0.88
 109 20140915 211116.690 64.70359 -17.01083 11.727  0.98  1.20
 110 20140915 212339.175 64.61397 -17.45945  2.747  3.37  2.01
 111 20140915 212806.765 64.86625 -16.85375 11.232  1.06  1.01
 112 20140915 212835.288 64.79352 -16.94110 11.250  1.50  1.33
 113 20140915 213019.569 64.80192 -16.91680  8.735  1.12  1.08
 114 20140915 213917.782 64.78628 -16.90908 10.019  2.19  2.10
 115 20140915 215026.301 64.81435 -16.89535  8.288  1.05  0.75
 116 20140915 215609.671 64.84464 -16.87179  9.989  2.14  2.03
 117 20140915 215752.700 65.18023 -16.27341  3.857  1.86  1.68
 118 20140915 220433.985 65.09820 -16.37734  6.584  0.99  0.87
 119 20140915 220811.303 64.81747 -16.89681  8.597  0.78  0.44
 120 20140915 220901.994 65.04151 -16.53222  6.071  0.78  0.61
 121 20140915 221426.211 64.84875 -16.85716  9.126  1.04  0.53
 122 20140915 221733.656 65.04813 -16.21282  2.747  1.23  0.93
 123 20140915 222005.782 64.69166 -17.49764  2.864  1.13  1.18
 124 20140915 224049.288 64.84136 -16.88317  5.595  0.82  0.74
 125 20140915 224119.640 64.84570 -16.86566  8.436  1.09  0.98
 126 20140915 224822.434 66.23348 -18.34720 11.417  0.68  1.16
 127 20140915 225140.842 64.75125 -16.94570  2.578  0.86  0.39
 128 20140915 225431.041 64.66873 -17.57612  2.864  1.71  0.78
 129 20140915 225646.501 64.70028 -17.02105 13.034  0.80  1.04
 130 20140915 230155.576 64.85532 -16.84647  4.791  0.27  0.42
 131 20140915 230908.626 64.86164 -16.84686 12.573  1.06  0.87
 132 20140915 231518.665 65.22524 -16.38037 14.030  0.84  0.85
 133 20140915 232510.884 64.75539 -16.95631 10.470  0.56  0.51
 134 20140915 232556.091 64.82137 -16.87440  5.902  0.24  0.36
 135 20140915 232636.726 65.11746 -16.37851  7.673  1.15  1.41
 136 20140915 234849.753 64.68571 -17.48112  5.084  1.95  1.35
 137 20140916 000122.047 64.83234 -16.86424 14.015  0.94  0.80
 138 20140916 000649.608 64.71849 -17.84165  3.275  1.26  1.15
 139 20140916 001313.947 64.79258 -16.90836  8.238  0.70  0.54
 140 20140916 001353.237 64.87670 -16.84218  4.039  0.38  0.44
 141 20140916 003006.585 64.79242 -16.90373  7.369  0.94  0.89
 142 20140916 004732.695 64.67587 -17.44811  1.695  1.93  1.78
 143 20140916 005254.723 64.83539 -16.87066  7.141  1.70  1.61
 144 20140916 011011.731 65.14621 -16.32302  9.016  0.91  1.01
 145 20140916 011749.760 65.17929 -16.26088  7.906  1.18  1.26
 146 20140916 012048.410 64.03873 -21.15320  3.779  0.59  0.26
 147 20140916 013301.413 65.03453 -16.58799  4.406  1.00  1.04
 148 20140916 021514.438 64.66499 -17.38528  1.301  1.57  1.99
 149 20140916 021931.949 65.20660 -16.36559  9.936  1.04  1.09
 150 20140916 022624.985 64.79795 -16.90859 11.244  0.74  0.66
 151 20140916 022919.375 64.79535 -16.90392  7.914  0.83  0.69
 152 20140916 025620.954 64.79359 -16.90145  8.062  1.34  0.54
 153 20140916 030806.274 64.67076 -17.55286  6.769  1.10  0.96
 154 20140916 030910.796 64.79288 -16.90763  8.690  1.04  0.87
 155 20140916 033729.297 64.83854 -16.86914  7.992  0.72  0.77
 156 20140916 034138.463 64.79338 -16.89268  8.417  1.27  0.38
 157 20140916 034903.995 64.84188 -16.86515  7.501  0.44  0.58
 158 20140916 040307.297 64.78736 -16.91540  6.806  0.74  0.44
 159 20140916 040708.567 64.84649 -16.86595  8.396  1.14  1.05
 160 20140916 040739.923 64.67175 -17.53302  7.354  1.23  1.28
 161 20140916 042142.962 64.67170 -17.46490  4.493  2.74  1.97
 162 20140916 042551.801 64.72458 -17.50541  6.683  0.87  1.03
 163 20140916 043954.475 64.73779 -17.46825  6.224  1.22  0.93
 164 20140916 045507.460 64.83472 -16.87700  8.881  1.90  1.60
 165 20140916 045816.284 64.66829 -17.41783  8.029  1.83  2.06
 166 20140916 050848.151 64.82085 -16.88163  5.071  0.99  1.01
 167 20140916 050928.990 64.85333 -16.85429  8.667  1.28  1.38
 168 20140916 051510.710 64.68140 -17.44535  8.877  1.93  1.54
 169 20140916 052132.891 64.79189 -16.90613  7.532  0.74  0.60
 170 20140916 060443.447 64.79083 -16.89268  9.387  0.50  0.65
 171 20140916 062336.500 64.79169 -16.90724  9.095  1.07  0.90
 172 20140916 063556.424 64.86020 -16.84440 12.683  1.44  1.09
 173 20140916 070752.716 63.60907 -19.14320  3.652  1.20  0.50
 174 20140916 072249.811 64.78760 -16.53658  6.363  0.87  0.79
 175 20140916 075750.973 64.86094 -16.84501 12.520  1.74  1.47
 176 20140916 082200.435 63.97871 -19.98916  7.268  0.89  0.41
 177 20140916 083209.462 64.81341 -16.89506  8.201  0.88  0.86
 178 20140916 083241.057 64.85957 -16.84702 10.883  0.69  0.75
 179 20140916 084632.690 64.79711 -16.89655  1.940  0.23  0.30
 180 20140916 091334.394 64.67020 -17.46140  5.411  3.38  2.45
 181 20140916 092912.951 64.79189 -16.90494  6.120  0.98  0.86
 182 20140916 101119.806 63.99692 -20.95584  2.778  0.67  0.79
 183 20140916 103304.741 64.79144 -16.90480  8.431 -9.99  0.83
